Time,Game,Pitch Conditions,Local,Win
Morning,WorldCup,Excelent,1,Germany
Afternoon,Olimpic,Good,1,Germany
Evening,Friendly,Bad,0,Germany
Afternoon,Friendly,Appalling,0,Mexico
Afternoon,WorldCup,Good,1,Mexico
Afternoon,Olimpic,Excelent,1,Germany
Afternoon,Olimpic,Bad,1,Germany
Afternoon,Olimpic,Bad,1,Germany
Morning,WorldCup,Excelent,1,Germany
Afternoon,Olimpic,Good,0,Mexico
Evening,Friendly,Bad,0,Germany
Evening,WorldCup,Appalling,1,Mexico
Afternoon,WorldCup,Good,1,Mexico
Afternoon,WorldCup,Excelent,1,Germany
Afternoon,Olimpic,Bad,1,Germany
Afternoon,Olimpic,Good,1,Germany
